NO.,hostile_offline,hostile_online,aggression,online_offline
1,0.055555556,0,0.083333333,-0.055555556
2,0,0,0.055555556,0
3,0.333333333,0.3,0.791666667,-0.03333333300000002
4,0.888888889,0.9,0.847222222,0.011111111000000062
5,0,0,0.125,0
6,0,0,0.180555556,0
7,0,0,0.277777778,0
8,0.055555556,0,0.319444444,-0.055555556
9,0.055555556,0,0.597222222,-0.055555556
10,0,0,0.402777778,0
11,0,0,0.5,0
12,0,0,0.25,0
13,0.055555556,0,0.263888889,-0.055555556
14,0.111111111,0.066666667,0.5,-0.044444444
15,0,0,0.236111111,0
16,0,0,0.458333333,0
17,0,0,0.041666667,0
18,0,0,0.388888889,0
19,0,0,0.208333333,0
20,0,0,0.305555556,0
21,0.055555556,0,0.5,-0.055555556
22,0.055555556,0.033333333,0.375,-0.022222223
23,0.055555556,0,0.305555556,-0.055555556
24,0,0,0.166666667,0
25,0,0.033333333,0.291666667,0.033333333
26,0,0,0.277777778,0
27,0.444444444,0.566666667,0.416666667,0.12222222300000002
28,0.055555556,0.066666667,0.319444444,0.011111111
29,0,0,0.166666667,0
30,0.166666667,0.1,0.305555556,-0.06666666699999999
31,0,0,0.194444444,0
32,0,0,0.388888889,0
33,0.055555556,0.033333333,0.555555556,-0.022222223
34,0.055555556,0.2,0.305555556,0.144444444
35,0,0,0.180555556,0
36,0,0,0.277777778,0
37,0.277777778,0.266666667,0.486111111,-0.011111110999999951
38,0,0,0.194444444,0
39,0,0,0.180555556,0
40,0,0,0.305555556,0
41,0,0,0.430555556,0
42,0.166666667,0.2,0.625,0.03333333300000002
43,0,0,0.458333333,0
44,0,0,0.541666667,0
45,0,0,0.180555556,0
46,0,0,0.361111111,0
47,0,0,0.083333333,0
48,0.833333333,0.833333333,0.25,0
49,0,0.066666667,0.263888889,0.066666667
50,0,0,0.208333333,0
51,0.055555556,0,0.263888889,-0.055555556
52,0,0,0.208333333,0
53,0.055555556,0.033333333,0.291666667,-0.022222223
54,0.666666667,0.433333333,0.708333333,-0.233333334
55,0.055555556,0.1,0.375,0.04444444400000001
56,0,0,0.25,0
57,0,0,0.472222222,0
58,0,0,0.111111111,0
59,0,0,0.5,0
60,0.777777778,0.866666667,0.888888889,0.08888888899999992
61,0,0,0.125,0
62,0.166666667,0.133333333,0.444444444,-0.03333333399999999
63,0.055555556,0.033333333,0.569444444,-0.022222223
64,0.055555556,0.166666667,0.375,0.11111111099999998
65,0.055555556,0,0.180555556,-0.055555556
66,0.166666667,0.166666667,0.916666667,0
67,0,0,0.180555556,0
68,0.111111111,0,0.361111111,-0.111111111
69,0.666666667,0.633333333,0.902777778,-0.03333333399999994
70,0,0,0.111111111,0
71,0.055555556,0.033333333,0.597222222,-0.022222223
72,0,0,0.263888889,0
73,0,0,0.166666667,0
74,0,0,0.291666667,0
75,0,0,0.125,0
76,0.055555556,0,0.513888889,-0.055555556
77,0,0,0.152777778,0
78,0.055555556,0.066666667,0.305555556,0.011111111
79,1,0.866666667,0.680555556,-0.13333333300000005
80,0,0,0.347222222,0
81,0,0,0.375,0
82,0,0,0.166666667,0
83,0,0.033333333,0.472222222,0.033333333
84,0,0,0.319444444,0
85,0,0.033333333,0.611111111,0.033333333
86,0,0.1,0.513888889,0.1
87,0,0,0.125,0
88,0,0.033333333,0.361111111,0.033333333
89,0,0,0.222222222,0
90,0,0,0.236111111,0
91,0,0,0.180555556,0
92,0,0,0.5,0
93,0,0,0.555555556,0
94,0,0,0.277777778,0
95,0,0,0.430555556,0
96,0,0,0.125,0
97,0.166666667,0.166666667,0.5,0
98,0,0,0.513888889,0
99,0,0,0.166666667,0
100,0.055555556,0.033333333,0.180555556,-0.022222223
101,0,0,0.263888889,0
102,0,0,0.611111111,0
103,0,0,0.430555556,0
104,0.055555556,0,0.527777778,-0.055555556
105,0.722222222,0.633333333,0.763888889,-0.08888888899999992
106,0,0,0.222222222,0
107,0,0,0.375,0
108,0,0,0.097222222,0
109,0.111111111,0.066666667,0.472222222,-0.044444444
110,0.111111111,0.1,0.444444444,-0.011111110999999993
111,0,0,0.097222222,0
112,0,0,0.430555556,0
113,0,0,0.444444444,0
114,0,0,0.236111111,0
115,0,0,0.194444444,0
116,0,0,0.805555556,0
117,0,0,0.083333333,0
118,0,0,0.208333333,0
119,0,0,0.75,0
120,0.055555556,0.033333333,0.458333333,-0.022222223
121,0,0,0.333333333,0
122,0.111111111,0.066666667,0.277777778,-0.044444444
