"","hostile_offline","hostile_offline1","hostile_offline2","hostile_offline3","hostile_online","hostile_online1","hostile_online2","hostile_online3","hostile_online4","hostile_online5","talk_offline","talk_offline1","talk_offline2","talk_offline3","talk_offline4","talk_offline5","talk_online","talk_online1","talk_online2","talk_online3","talk_online4","talk_online5","tone_online4","tone_online5","tone_online6","tone_online1","tone_online2","tone_online3","tone_online_neg","tone_online_pos","tone_offline4","tone_offline5","tone_offline6","tone_offline1","tone_offline2","tone_offline3","tone_offline_neg","tone_offline_pos","aggression","ders","sdrt","aggression1","aggression2","aggression3","aggression4","aggression5","aggression6","aggression7","aggression8","aggression9","aggression10","aggression11","aggression12","ders1","ders2","ders3","ders4","ders5","ders6","ders7","ders8","ders9","ders10","ders11","ders12","sdrt1","sdrt2","sdrt3","sdrt4","sdrt5","sdrt6","sdrt7","sdrt8","sdrt9","sdrt10","sdrt11","sdrt12","sdrt13","sdrt14","female","age","age_year","highered","income","pid","white"
"1",0.0555555555555555,1,2,1,0,1,1,1,1,1,0.0333333333333333,0,0,0,0,0.166666666666667,0,0,0,0,0,0,1,1,1,1,1,2,0,0.0555555555555555,1,1,2,1,1,1,0.0555555555555555,0,0.0833333333333333,0.166666666666667,0.345238095238095,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,7,1,1,1,1,1,7,7,1,1,1,6,1,7,1,0.609756097560976,45,1,0.533333333333333,0.5,1
"2",0,1,1,1,0,1,1,1,1,1,0.266666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,6,6,6,3,2,2,0.833333333333333,0.222222222222222,3,2,3,5,4,3,0.277777777777778,0.5,0.0555555555555555,0.152777777777778,0.25,1,1,1,1,1,2,2,2,1,1,1,2,1,3,3,2,2,1,3,4,1,1,1,1,4,3,5,1,1,1,5,4,3,3,1,1,1,2,1,0.365853658536585,35,1,0.6,0.166666666666667,1
"3",0.333333333333333,3,2,4,0.3,4,3,2,3,2,0.2,0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0.233333333333333,0.333333333333333,0.333333333333333,0.166666666666667,0.166666666666667,0.166666666666667,5,3,4,4,5,3,0.5,0.5,4,2,4,3,5,4,0.388888888888889,0.5,0.791666666666667,0.708333333333333,0.619047619047619,6,2,6,6,6,5,6,7,5,6,7,7,6,6,5,6,7,6,2,1,6,6,7,5,3,7,6,6,7,6,1,2,5,6,6,2,7,2,0,0.365853658536585,35,1,0.666666666666667,0.666666666666667,1
"4",0.888888888888889,6,6,7,0.9,6,7,6,6,7,0.733333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667,0.733333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,7,6,7,7,7,6,0.944444444444445,0.944444444444445,6,6,7,7,6,6,0.888888888888889,0.888888888888889,0.847222222222222,0.805555555555555,0.619047619047619,6,1,7,7,6,7,7,7,6,6,6,7,7,7,7,7,6,7,1,2,7,6,6,7,2,6,7,5,6,6,2,2,7,7,7,2,5,2,0,0.365853658536585,35,1,0.733333333333333,0.333333333333333,0
"5",0,1,1,1,0,1,1,1,1,1,0.133333333333333,0.333333333333333,0,0,0.333333333333333,0,0.166666666666667,0.333333333333333,0,0,0.333333333333333,0.166666666666667,3,3,3,5,5,4,0.333333333333333,0.611111111111111,3,3,3,5,6,3,0.333333333333333,0.611111111111111,0.125,0.0416666666666667,0.130952380952381,1,4,1,1,1,1,5,3,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,3,1,1,1,2,3,1,1,1,1,1,1,1,7,1,1,61,0,0.2,0.833333333333333,1
"6",0,1,1,1,0,1,1,1,1,1,0.1,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.0333333333333333,0.166666666666667,0,0,0,0,7,7,7,2,2,2,1,0.166666666666667,4,4,4,4,4,4,0.5,0.5,0.180555555555556,0.277777777777778,0,1,1,1,1,1,4,2,3,1,3,1,6,1,4,6,3,1,2,4,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.731707317073171,50,0,0.6,1,1
"7",0,1,1,1,0,1,1,1,1,1,0.0666666666666667,0.166666666666667,0,0,0.166666666666667,0,0,0,0,0,0,0,6,6,6,2,2,2,0.833333333333333,0.166666666666667,3,3,4,4,4,4,0.388888888888889,0.5,0.277777777777778,0.222222222222222,0.0595238095238095,1,3,2,1,1,3,5,4,4,3,2,3,2,2,1,5,1,1,5,3,2,2,2,2,2,1,1,1,1,2,1,2,1,1,1,2,1,2,0,1,61,1,NA,0,1
"8",0.0555555555555555,2,1,1,0,1,1,1,1,1,0.333333333333333,0.666666666666667,0,0.166666666666667,0.666666666666667,0.166666666666667,0.133333333333333,0.333333333333333,0,0,0.166666666666667,0.166666666666667,7,6,7,1,2,4,0.944444444444445,0.222222222222222,5,5,4,4,2,4,0.611111111111111,0.388888888888889,0.319444444444444,0.361111111111111,0.238095238095238,2,4,2,1,1,2,5,2,2,6,4,4,2,1,7,3,4,4,2,3,4,2,5,1,2,1,2,3,1,4,1,3,3,2,2,1,6,3,1,0.48780487804878,40,0,0.6,0.166666666666667,1
"9",0.0555555555555555,2,1,1,0,1,1,1,1,1,0.533333333333333,0.666666666666667,0.666666666666667,0,0.666666666666667,0.666666666666667,0,0,0,0,0,0,7,7,7,2,1,2,1,0.111111111111111,2,2,2,7,7,4,0.166666666666667,0.833333333333333,0.597222222222222,0.0833333333333333,0.571428571428572,3,5,2,7,7,7,7,7,7,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,7,3,4,7,1,4,7,5,7,7,7,1,1,1,0,0.731707317073171,50,0,0.333333333333333,0,1
"10",0,1,1,1,0,1,1,1,1,1,0.1,0.333333333333333,0,0,0.166666666666667,0,0,0,0,0,0,0,4,4,4,4,4,4,0.5,0.5,4,4,4,4,4,4,0.5,0.5,0.402777777777778,0.263888888888889,0.178571428571429,2,3,2,5,3,3,5,6,2,2,2,6,3,2,4,2,3,2,3,5,1,3,2,1,2,1,1,1,1,1,7,2,1,1,1,7,1,2,1,0.853658536585366,55,0,NA,1,0
"11",0,1,1,1,0,1,1,1,1,1,0.133333333333333,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,4,4,1,4,4,3,0.333333333333333,0.444444444444444,1,1,1,4,4,4,0,0.5,0.5,0.486111111111111,0.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0.365853658536585,35,0,0.133333333333333,0,0
"12",0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0.25,0.375,0.476190476190476,7,4,1,3,2,1,1,1,1,2,3,4,3,6,3,2,1,1,7,7,1,4,1,3,6,3,2,2,3,5,4,4,2,4,4,5,5,5,0,0,20,0,NA,0.5,1
"13",0.0555555555555555,1,2,1,0,1,1,1,1,1,0.2,0.166666666666667,0.333333333333333,0,0.166666666666667,0.333333333333333,0,0,0,0,0,0,6,6,6,4,6,5,0.833333333333333,0.666666666666667,2,1,2,4,6,4,0.111111111111111,0.611111111111111,0.263888888888889,0.166666666666667,0.30952380952381,1,2,1,2,4,7,2,2,1,4,1,4,1,3,3,2,2,1,2,4,1,1,3,1,3,3,4,4,3,2,4,4,1,1,5,4,1,1,0,1,61,0,0.2,0.5,1
"14",0.111111111111111,2,2,1,0.0666666666666667,1,1,2,2,1,0.3,0.333333333333333,0.333333333333333,0,0.333333333333333,0.5,0.4,0.5,0.5,0,0.5,0.5,4,4,4,4,4,4,0.5,0.5,4,4,4,4,4,4,0.5,0.5,0.5,0.5,0.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,20,0,0.333333333333333,0.166666666666667,0
"15",0,1,1,1,0,1,1,1,1,1,0.333333333333333,0.666666666666667,0,0.166666666666667,0.166666666666667,0.666666666666667,0.3,0.666666666666667,0,0.166666666666667,0.5,0.166666666666667,4,4,4,2,1,1,0.5,0.0555555555555555,7,5,5,2,1,1,0.777777777777778,0.0555555555555555,0.236111111111111,0.0277777777777778,0.488095238095238,3,4,1,1,1,1,1,1,1,7,3,5,1,1,1,1,1,1,3,1,1,1,1,1,5,4,3,4,3,3,5,5,4,4,3,5,3,4,0,0.365853658536585,35,1,0.2,0.5,1
"16",0,1,1,1,0,1,1,1,1,1,0.0333333333333333,0.166666666666667,0,0,0,0,0.0333333333333333,0.166666666666667,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,2,2,1,0,0.111111111111111,0.458333333333333,0.486111111111111,0.488095238095238,4,4,5,3,1,2,5,5,4,5,3,4,4,4,5,4,4,3,3,5,4,3,4,4,5,3,3,4,4,3,3,6,3,3,4,4,4,6,0,1,61,0,0.2,0.166666666666667,1
"17",0,1,1,1,0,1,1,1,1,1,0.266666666666667,0.5,0.166666666666667,0,0.5,0.166666666666667,0.0666666666666667,0.166666666666667,0,0,0.166666666666667,0,4,2,4,4,4,2,0.388888888888889,0.388888888888889,4,3,3,3,4,4,0.388888888888889,0.444444444444444,0.0416666666666667,0.138888888888889,0.107142857142857,1,3,1,1,1,1,2,1,1,1,1,1,3,3,2,2,1,1,2,4,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,6,1,1,61,0,0.666666666666667,0.166666666666667,1
"18",0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,5,5,2,0.166666666666667,0.5,4,4,4,4,4,4,0.5,0.5,0.388888888888889,0.388888888888889,0.488095238095238,3,4,3,5,4,4,4,4,3,2,1,3,3,7,4,1,1,2,4,6,1,4,3,4,5,3,4,3,3,4,2,6,4,3,4,5,4,5,1,1,61,0,0,0,0
"19",0,1,1,1,0,1,1,1,1,1,0.2,0.333333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.133333333333333,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,7,7,7,3,3,3,1,0.333333333333333,6,5,6,4,4,4,0.777777777777778,0.5,0.208333333333333,0.527777777777778,0.0119047619047619,2,4,3,1,2,1,3,2,2,5,1,1,2,2,6,6,6,4,5,7,2,3,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0.853658536585366,55,0,0.266666666666667,0.333333333333333,1
"20",0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0.166666666666667,0.166666666666667,2,1,1,2,2,2,0.0555555555555555,0.166666666666667,0.305555555555556,0.444444444444444,0.0357142857142857,1,4,1,1,1,1,1,4,4,7,2,7,4,4,5,5,4,3,7,1,3,3,1,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,0.48780487804878,40,0,0.0666666666666667,0.5,1
