"","hostile_online","hostile_offline","ders","part_online","part_offline","hostile_online_1","hostile_online_2","hostile_online_3","hostile_online_4","hostile_online_5","hostile_online_6","hostile_online_7","hostile_online_8","hostile_offline_1","hostile_offline_2","hostile_offline_3","hostile_offline_4","hostile_offline_5","hostile_offline_6","hostile_offline_7","hostile_offline_8","sdrt1","sdrt2","sdrt3","sdrt4","sdrt5","sdrt6","sdrt7","sdrt8","sdrt9","sdrt10","sdrt11","sdrt12","sdrt13","sdrt14","aggression1","aggression2","aggression3","aggression4","aggression5","aggression6","aggression7","aggression8","aggression9","aggression10","aggression11","aggression12","aggression","sdrt","pid","talk_online_1","talk_online_2","talk_online_3","talk_online_4","talk_online_5","talk_offline_1","talk_offline_2","talk_offline_3","talk_offline_4","talk_offline_5","talk_online","talk_offline","female","age","ID","highered","income","white","online_first"
"1",0.583333333333333,0.604166666666667,0.444444444444444,0.333333333333333,0.166666666666667,0.833333333333333,0.833333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.5,0.166666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.166666666666667,0.833333333333333,0.166666666666667,0.5,0.666666666666667,0.166666666666667,0.333333333333333,0.666666666666667,0.5,1,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667,0.166666666666667,0.5,0.5,0.833333333333333,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.5,0.833333333333333,0.333333333333333,0.833333333333333,0.166666666666667,0.555555555555555,0.535714285714286,0.166666666666667,0.666666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.666666666666667,0.333333333333333,0.5,0.166666666666667,1,0,0.366666666666667,0.4,1,30,"1",0,0.2,1,"1"
"2",0.333333333333333,0.354166666666667,0.638888888888889,0.5,0.333333333333333,0.833333333333333,0.166666666666667,0.5,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0,0.666666666666667,0,0.333333333333333,0.666666666666667,0.333333333333333,0.833333333333333,0.833333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.333333333333333,0.5,0.833333333333333,0.166666666666667,0.333333333333333,0.666666666666667,0.5,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,1,0.666666666666667,0.333333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.488095238095238,1,0,0.666666666666667,0.833333333333333,0.333333333333333,0.5,0.5,0.166666666666667,0.5,0.5,0.5,0.466666666666667,0.433333333333333,0,30,"2",1,NA,0,"1"
"3",0.1875,0.333333333333333,0.527777777777778,0.666666666666667,0.666666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0,0.333333333333333,0.5,0.166666666666667,0.5,0.333333333333333,0.5,0.166666666666667,0.166666666666667,0.5,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.333333333333333,0.5,0.666666666666667,0.666666666666667,0.5,0.5,0.5,0.666666666666667,0.5,0.5,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.5,0.666666666666667,0.666666666666667,0.597222222222222,0.559523809523809,0.5,0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667,0.5,0.5,0,0.166666666666667,0.166666666666667,0.133333333333333,0.266666666666667,1,40,"3",1,0.6,1,"0"
"4",NA,NA,0.236111111111111,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.333333333333333,0.333333333333333,0.333333333333333,0.833333333333333,0.5,0.333333333333333,0.166666666666667,0.166666666666667,0.333333333333333,0.833333333333333,0.166666666666667,0.666666666666667,0,0.5,0,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0,0.333333333333333,0.152777777777778,0.392857142857143,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,75,"4",0,0.266666666666667,1,"0"
"5",NA,0.104166666666667,0.583333333333333,0.333333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,0,0.333333333333333,0.333333333333333,0,0,0,0,0.5,0.833333333333333,0,0,0,0.833333333333333,0.5,0.666666666666667,0.333333333333333,0.5,0,0,1,0.333333333333333,0,0.166666666666667,0,0,0,0,0.5,0.5,0,0.5,0.666666666666667,0.166666666666667,0.208333333333333,0.392857142857143,0.833333333333333,NA,NA,NA,NA,NA,0.333333333333333,0,0,0.333333333333333,0,NA,0.133333333333333,1,25,"5",0,NA,1,"0"
"6",0,NA,0.194444444444444,0,0.166666666666667,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.666666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.166666666666667,0.5,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.166666666666667,0.333333333333333,0.444444444444444,0.19047619047619,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,1,65,"6",0,0,1,"1"
"7",NA,NA,0.236111111111111,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.5,0.5,0.5,0.833333333333333,0.5,0.166666666666667,0,0,0.833333333333333,0.347222222222222,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,70,"7",0,0.0666666666666667,1,"1"
"8",0.0625,0.0625,0.138888888888889,0.166666666666667,0.666666666666667,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0.666666666666667,0,0,0,0,0,0,0,0.166666666666667,0.666666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0.833333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.166666666666667,0.333333333333333,0.347222222222222,0.130952380952381,0.5,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,70,"8",0,0.4,1,"1"
"9",NA,NA,0.125,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,0.166666666666667,0.5,0,0,0.333333333333333,0.166666666666667,0.166666666666667,0,0.333333333333333,0.333333333333333,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0.5,0.5,0.333333333333333,0.666666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0.277777777777778,0.178571428571429,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,65,"9",0,0.266666666666667,1,"1"
"10",0.104166666666667,NA,0.5,0,0.5,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,0.333333333333333,0.166666666666667,0,0.333333333333333,0.5,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0.5,0.666666666666667,0.333333333333333,0.666666666666667,0.5,0.333333333333333,0.5,0.666666666666667,0.833333333333333,0.666666666666667,0.5,0.5,0.555555555555555,0.273809523809524,0.333333333333333,0.166666666666667,0,0.166666666666667,0.333333333333333,0.166666666666667,NA,NA,NA,NA,NA,0.166666666666667,NA,1,65,"10",0,0.0666666666666667,1,"0"
"11",NA,0,0.472222222222222,0.166666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666667,0.5,0,0.666666666666667,0.5,0.666666666666667,0.5,0.178571428571429,1,NA,NA,NA,NA,NA,0.5,0.5,0.166666666666667,0.666666666666667,0.333333333333333,NA,0.433333333333333,1,40,"11",1,0.0666666666666667,1,"1"
"12",0.0625,0,0.111111111111111,0.166666666666667,0.5,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,1,0.333333333333333,0,0,0.333333333333333,0.166666666666667,0.166666666666667,0,0,0,0,0.166666666666667,0.0333333333333333,1,75,"12",0,0.2,1,"0"
"13",0,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0,0,0.166666666666667,0.333333333333333,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.111111111111111,0.119047619047619,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0.1,0,0,70,"13",1,0.2,1,"1"
"14",NA,NA,0.277777777777778,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.166666666666667,0,0,0,0.166666666666667,0.5,0.166666666666667,0.166666666666667,0,0,0,0,0.333333333333333,0,0.833333333333333,0,0.833333333333333,0,0.666666666666667,0.5,0.166666666666667,0.666666666666667,0.166666666666667,0.333333333333333,0.5,0.388888888888889,0.107142857142857,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,75,"14",0,0.666666666666667,1,"1"
"15",NA,NA,0.513888888888889,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.666666666666667,0,0,0,1,0.5,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.5,1,0.333333333333333,1,0.666666666666667,0.666666666666667,0.611111111111111,0.154761904761905,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30,"15",0,0.133333333333333,0,"0"
"16",NA,NA,0.0833333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0.833333333333333,0.166666666666667,0.5,0.208333333333333,0.0119047619047619,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,45,"16",1,0.266666666666667,0,"1"
"17",0.166666666666667,NA,0.0694444444444445,0,0.5,0.666666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0.166666666666667,0.833333333333333,0,0.833333333333333,0.666666666666667,0.333333333333333,1,0.666666666666667,0.5,0.666666666666667,0,0.333333333333333,0.5,0.357142857142857,0,0,0.166666666666667,0.333333333333333,0.333333333333333,0,NA,NA,NA,NA,NA,0.166666666666667,NA,1,65,"17",1,0.0666666666666667,1,"0"
"18",NA,NA,0.0972222222222222,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0.333333333333333,0,0,0.5,0.833333333333333,0.666666666666667,0.5,0.5,0,0,0.361111111111111,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,60,"18",1,NA,1,"1"
"19",0.270833333333333,0.291666666666667,0.5,0.5,0.5,0.666666666666667,0.166666666666667,0.5,0.5,0.166666666666667,0.166666666666667,0,0,0.5,0.166666666666667,0.5,0.5,0.333333333333333,0.166666666666667,0.166666666666667,0,0.5,0.5,0.5,0.5,0.666666666666667,0.666666666666667,0.5,0.5,0,0.5,0.5,0.166666666666667,0.5,0.333333333333333,0.5,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.486111111111111,0.452380952380952,1,0.5,0,0,0.666666666666667,0.166666666666667,0.666666666666667,0,0,0.166666666666667,0.166666666666667,0.266666666666667,0.2,0,60,"19",0,0.133333333333333,1,"1"
"20",0,NA,0.0416666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.166666666666667,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0.666666666666667,0.166666666666667,0,0,0,0.666666666666667,0.125,0.0238095238095238,0.333333333333333,0.166666666666667,0,0,0,0,NA,NA,NA,NA,NA,0.0333333333333333,NA,1,60,"20",0,0.0666666666666667,1,"0"
"21",NA,NA,0.569444444444445,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,0.5,0.333333333333333,0.5,0.5,0.5,0.5,0.333333333333333,0.666666666666667,0.5,0.833333333333333,0.5,0.333333333333333,0.166666666666667,0.666666666666667,0.5,0.666666666666667,0.833333333333333,0.5,0.833333333333333,0.333333333333333,0.833333333333333,0.5,0.5,0.5,0.5,0.597222222222222,0.452380952380952,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,40,"21",0,0,0,"1"
"22",NA,NA,0.236111111111111,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.166666666666667,0.5,0.5,0.5,0.388888888888889,0.130952380952381,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,"22",1,NA,0,"0"
"23",0.0833333333333333,0.125,0.5,0.333333333333333,0.333333333333333,0.166666666666667,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.166666666666667,0.5,0,0.5,0.666666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.666666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0.666666666666667,0.166666666666667,0.666666666666667,0.833333333333333,0.166666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.361111111111111,0.273809523809524,0.833333333333333,0.5,0,0,0.5,0,0.5,0,0,0.5,0,0.2,0.2,1,70,"23",0,0.4,1,"1"
"24",0,0.166666666666667,0.444444444444444,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0.5,0.5,0.5,0.166666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.333333333333333,0.166666666666667,0.5,0.333333333333333,0.333333333333333,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.319444444444444,0.488095238095238,0.166666666666667,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,1,30,"24",1,0,1,"0"
"25",0.25,0.208333333333333,0.222222222222222,0.333333333333333,0.166666666666667,0.666666666666667,0.166666666666667,0.333333333333333,0.833333333333333,0,0,0,0,0.833333333333333,0.166666666666667,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.166666666666667,0.5,0.166666666666667,0,0,0,0.5,0.5,1,0.5,0,0,0.277777777777778,0.0357142857142857,1,0.5,0,0,0.5,0,0.666666666666667,0,0,0.833333333333333,0,0.2,0.3,1,65,"25",0,0.733333333333333,1,"0"
"26",NA,NA,0.208333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0.5,0,0.333333333333333,0.0694444444444445,0.0119047619047619,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,70,"26",0,0.133333333333333,0,"0"
"27",0.0208333333333333,NA,0.125,0,0.166666666666667,0,0,0,0.166666666666667,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,1,0.166666666666667,0.0357142857142857,0.666666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,0,NA,NA,NA,NA,NA,0.1,NA,0,65,"27",0,0.2,1,"1"
"28",NA,NA,0.708333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.666666666666667,0.5,0.666666666666667,0.333333333333333,0.666666666666667,0.166666666666667,0.666666666666667,0.666666666666667,0.333333333333333,1,1,0,0.555555555555555,0.0357142857142857,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30,"28",0,0.0666666666666667,1,"1"
"29",0,0.0416666666666667,0.0138888888888889,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,0,0.666666666666667,0.333333333333333,0.166666666666667,0,0,0,0,0,0.166666666666667,0,0.166666666666667,0,0,0,0.166666666666667,1,0.833333333333333,0,0.5,0,0.166666666666667,0.236111111111111,0.107142857142857,1,0.166666666666667,0,0,0.166666666666667,0,0.5,0,0,0.5,0.166666666666667,0.0666666666666667,0.233333333333333,1,35,"29",1,0.666666666666667,0,"0"
"30",0.416666666666667,NA,0.319444444444444,0,0.666666666666667,1,0.166666666666667,0.666666666666667,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,0.166666666666667,0.5,1,0.333333333333333,0.833333333333333,0.666666666666667,0.5,0,0.5,0,0,0,0.5,0,0.166666666666667,0,0.166666666666667,0.166666666666667,1,0.833333333333333,0.5,1,0,0.5,0.333333333333333,0.388888888888889,0.404761904761905,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,75,"30",1,0.2,0,"0"
